Fully Researched,FinalName,CustomSeeName,Name,Status,YearStart,YearEnd,Latitude,Longitude,PriorUse,Comment
FALSE,Walter Winchester Unit of Genesee Memorial Hospital,,Genesee County Infirmary,active,1928,1932,43.03654262,-83.75626964,,
FALSE,Walter Winchester Unit of Genesee Memorial Hospital,,Genesee County Hospital and Infirmary,active,1932,1955,43.03654262,-83.75626964,,
FALSE,Walter Winchester Unit of Genesee Memorial Hospital,,Genesee County Hospital Facility,active,1955,1961,43.03654262,-83.75626964,,
FALSE,Walter Winchester Unit of Genesee Memorial Hospital,,Walter Winchester Hospital,active,1961,1969,43.03654262,-83.75626964,,
FALSE,Walter Winchester Unit of Genesee Memorial Hospital,,Walter Winchester Unit of Genesee Memorial Hospital,active,1969,1971,43.03654262,-83.75626964,,
FALSE,Walter Winchester Unit of Genesee Memorial Hospital,,Walter Winchester Unit of Genesee Memorial Hospital,closed,1971,9999,43.03654262,-83.75626964,,
,,,,,,,,,,
# Handle West Court Maternity Home,,,,,,,,,,
FALSE,West Court Maternity Home ,,West Court Maternity Home ,active,1921,1923,43.00715401,-83.71419754,,
FALSE,West Court Maternity Home ,,West Court Maternity Home ,closed,1923,9999,43.00715401,-83.71419754,,
,,,,,,,,,,
# Handle Westside Hospital,,,,,,,,,,
FALSE,Westside Hospital,,Tonsil Clinic and Hospital ,active,1925,1929,43.06445002,-83.8551392,,The original location is unknown. This is the second location.
FALSE,Westside Hospital,,Tonsil Clinic and Hospital ,active,1929,1930,43.06445002,-83.8551392,,
FALSE,Westside Hospital,,Tonsil and Maternity Hospital,active,1930,1931,43.06445002,-83.8551392,,
FALSE,Westside Hospital,,Tonsil and Maternity Hospital,moved,1931,9999,43.06445002,-83.8551392,,
FALSE,Westside Hospital,,Tonsil and Maternity Hospital,active,1931,1932,43.01438317,-83.68606154,,
FALSE,Westside Hospital,,Dr. Charters' Maternity Hospital,active,1932,1933,43.01438317,-83.68606154,,
FALSE,Westside Hospital,,Westside Hospital,active,1933,1934,43.01438317,-83.68606154,,
FALSE,Westside Hospital,,Westside Hospital,moved,1934,9999,43.01438317,-83.68606154,,
FALSE,Westside Hospital,,Westside Hospital,active,1934,1936,43.02036104,-83.69918567,,
FALSE,Westside Hospital,,Westside Hospital,moved,1936,9999,43.02036104,-83.69918567,,
FALSE,Westside Hospital,,Westside Hospital,active,1936,1943,43.00540635,-83.71324957,,
FALSE,Westside Hospital,,Westside Hospital,closed,1943,9999,43.00540635,-83.71324957,,
